링크아이디,시점노드,시점노드명,종점노드,종점노드명,도로등급,도로명,연장(M),링크권역
(LINK_ID),(F_NODE),(NODE_NAME),(T_NODE),(NODE_NAME),(ROAD_RANK),(ROAD_NAME),(len),(organ)
1040041700,1040016001,광남고등학교,1040029700,광장동561-15,104,아차산로70길,175.398586,서울특별시
1040041800,1030000100,영동대교북측,1040010400,영동대교북측,103,동일로,55.74916679,서울특별시
1040041900,1040010400,영동대교북측,1040028300,영동대교북단고가차도,103,동일로,90.99213033,서울특별시
1040042000,1040028300,영동대교북단고가차도,1040011300,더나눔커피,103,동일로,103.9059298,서울특별시
1040042100,1040011300,더나눔커피,1040012700,영교빌라,103,동일로,95.61545908,서울특별시
1040042200,1040012700,영교빌라,1040028400,비츠로,103,동일로,31.46423709,서울특별시
1040042300,1040028400,비츠로,1040000600,영동대교북단교차로,103,동일로,68.77972657,서울특별시
1040042400,1040017700,성수사거리,1040020000,장구약국,103,동일로,417.5621077,서울특별시
1040042500,1040020000,장구약국,1040017700,성수사거리,103,동일로,417.5553048,서울특별시
1040042600,1040020000,장구약국,1040022500,화양사거리,103,동일로,328.6110818,서울특별시
1040042700,1040022500,화양사거리,1040020000,장구약국,103,동일로,328.611123,서울특별시
1040042800,1040019400,광진구-강동구,1040001100,광진교북측,104,구천면로,108.9374794,서울특별시
1040042900,1040022500,화양사거리,1040022900,초원모텔,103,동일로,162.8276194,서울특별시
1040043000,1040022900,초원모텔,1040022500,화양사거리,103,동일로,162.8277105,서울특별시
1040043100,1040022900,초원모텔,1040023600,흰돌교회,103,동일로,300.9365067,서울특별시
1040043200,1040023600,흰돌교회,1040022900,초원모텔,103,동일로,300.9365979,서울특별시
1040043300,1040023600,흰돌교회,1040023601,군자동134-58,103,동일로,340.3344458,서울특별시
1040043400,1040023601,군자동134-58,1040023600,흰돌교회,103,동일로,340.2795247,서울특별시
1040043500,1040023601,군자동134-58,1040025000,군자지하차도남측,103,동일로,418.4581353,서울특별시
1040043600,1040025000,군자지하차도남측,1040023601,군자동134-58,103,동일로,418.460511,서울특별시
1040043700,1040025000,군자지하차도남측,1040025300,군자교앞,103,동일로,67.71964347,서울특별시
1040043800,1040025300,군자교앞,1040025700,군자교앞,103,동일로,74.6249382,서울특별시
1040043901,1040019300,구의사거리,1040029801,주차장,107,광나루로,149.0527229,서울특별시
1040044001,1040029801,주차장,1040019300,구의사거리,107,광나루로,149.7668999,서울특별시
1040044101,1040029801,주차장,1040029901,버스정류장,107,광나루로,188.6902227,서울특별시
1040044201,1040029901,버스정류장,1040029801,주차장,107,광나루로,189.3506095,서울특별시
1040044301,1040030001,구의전기,1040029901,버스정류장,107,광나루로39길,184.3562158,서울특별시
1040044401,1040029901,버스정류장,1040030001,구의전기,107,광나루로39길,190.0391626,서울특별시
1040044501,1040029901,버스정류장,1040030101,구의제세한의원,107,광나루로,34.83611734,서울특별시
1040044601,1040030101,구의제세한의원,1040029901,버스정류장,107,광나루로,33.94694985,서울특별시
1040044701,1040030101,구의제세한의원,1040018900,구의시장앞교차로,107,광나루로,103.7996012,서울특별시
1040044801,1040018900,구의시장앞교차로,1040030101,구의제세한의원,107,광나루로,107.386566,서울특별시
1040044901,1040030201,군자피스톤학원,1040018900,구의시장앞교차로,107,천호대로138길,546.5434624,서울특별시
1040045001,1040018900,구의시장앞교차로,1040030201,군자피스톤학원,107,천호대로138길,543.073751,서울특별시
1040045101,1040023000,아차산역사거리,1040030201,군자피스톤학원,107,천호대로,282.2106352,서울특별시
1040045201,1040030201,군자피스톤학원,1040023000,아차산역사거리,107,천호대로,273.1306323,서울특별시
1040045301,1040030201,군자피스톤학원,1040030301,따릉이대여소,107,천호대로,57.82488678,서울특별시
1040045401,1040030301,따릉이대여소,1040030201,군자피스톤학원,107,천호대로,57.23246522,서울특별시
1040045501,1040030301,따릉이대여소,1040030401,구의야구공원,107,천호대로,117.4866249,서울특별시
1040045601,1040030401,구의야구공원,1040030301,따릉이대여소,107,천호대로,117.8451349,서울특별시
1040045701,1040030301,따릉이대여소,1040030501,구의야구공원,107,-,184.5345876,서울특별시
1040045801,1040030501,구의야구공원,1040030301,따릉이대여소,107,-,185.9180596,서울특별시
1040045901,1040030401,구의야구공원,1040030701,구의고가차도,107,천호대로,341.9216727,서울특별시
1040046001,1040030701,구의고가차도,1040030401,구의야구공원,107,천호대로,342.9622805,서울특별시
1040046101,1040030501,구의야구공원,1040030601,구의고가차도,107,천호대로,195.5045154,서울특별시
1040046201,1040030601,구의고가차도,1040030501,구의야구공원,107,천호대로,195.6599382,서울특별시
1040046301,1040030601,구의고가차도,1040020600,광장동401-14,107,워커힐로,79.31996092,서울특별시
1040046401,1040020600,광장동401-14,1040030601,구의고가차도,107,워커힐로,78.44788888,서울특별시
1040046501,1040030601,구의고가차도,1040030801,광장중앞지하차도,107,-,270.1187634,서울특별시
1040046601,1040030801,광장중앞지하차도,1040030601,구의고가차도,107,-,270.0904668,서울특별시
1040046701,1040030901,아차산공원주차장,1040030601,구의고가차도,107,워커힐로,143.3949763,서울특별시
1040046801,1040030601,구의고가차도,1040030901,아차산공원주차장,107,워커힐로,145.7801852,서울특별시
1040046901,1040030701,구의고가차도,1040030801,광장중앞지하차도,107,천호대로,189.2581053,서울특별시
1040047001,1040030801,광장중앞지하차도,1040030701,구의고가차도,107,천호대로,188.1712856,서울특별시
1040047101,1040030801,광장중앞지하차도,1040020100,삼정물산,107,천호대로,113.2995687,서울특별시
1040047201,1040020100,삼정물산,1040030801,광장중앞지하차도,107,천호대로,112.4979693,서울특별시
1040047301,1040031001,라이프플러스,1040030901,아차산공원주차장,107,워커힐로,123.7791295,서울특별시
1040047401,1040030901,아차산공원주차장,1040031001,라이프플러스,107,워커힐로,117.3806835,서울특별시
1040047501,1040031101,정립주간보호센터,1040031001,라이프플러스,107,-,33.08330891,서울특별시
1040047601,1040031001,라이프플러스,1040031101,정립주간보호센터,107,-,33.02017939,서울특별시
1040047701,1040023300,아차산공원,1040031001,라이프플러스,107,워커힐로,268.4141477,서울특별시
1040047801,1040031001,라이프플러스,1040023300,아차산공원,107,워커힐로,266.8648048,서울특별시
1050000100,1050000400,마장IC,1050010500,마장IC,102,내부순환도로,461.5461298,서울특별시
1050000200,1050011500,마장IC,1050012900,마장IC,102,내부순환도로,466.9141522,서울특별시
1050000301,1050007800,중랑천제1체육공원,1030025700,성동구-동대문구,102,동부간선도로,796.8140432,서울특별시
1050000302,1050018900,장안벚꽃길작은도서관,1050007800,중랑천제1체육공원,102,동부간선도로,702.587288,서울특별시
1050000303,1050024300,중랑천제3체육공원앞,1050018900,장안벚꽃길작은도서관,102,동부간선도로,670.8269609,서울특별시
1050000304,1050026900,전동중교앞교차로,1050024300,중랑천제3체육공원앞,102,동부간선도로,366.5072984,서울특별시
1050000305,1050031600,오일뱅크웰컴,1050026900,전동중교앞교차로,102,동부간선도로,1412.180716,서울특별시
1050000401,1050016400,신설동역1번출구,1000001300,신설동역교차로,103,왕산로,71.06601103,서울특별시
1050000403,1050017200,동대문등기소앞,1050016400,신설동역1번출구,103,왕산로,222.8663531,서울특별시
1050000404,1050017700,안암교,1050017200,동대문등기소앞,103,왕산로,163.5986602,서울특별시
1050000405,1050018600,용두동237-10,1050017700,안암교,103,왕산로,194.498371,서울특별시
1050000406,1050018800,용두동사거리,1050018600,용두동237-10,103,왕산로,58.98356403,서울특별시
1050000501,1000001300,신설동역교차로,1050016200,신설동역6번출구,103,왕산로,69.98825361,서울특별시
1050000502,1050016200,신설동역6번출구,1050017200,동대문등기소앞,103,왕산로,222.1398527,서울특별시
1050000503,1050017200,동대문등기소앞,1050017700,안암교,103,왕산로,163.5986269,서울특별시
1050000504,1050017700,안암교,1050018400,용두동237-10,103,왕산로,36.78677112,서울특별시
1050000505,1050018400,용두동237-10,1050018800,용두동사거리,103,왕산로,58.98359878,서울특별시
1050000601,1050020400,한방천하용두동포스빌,1050020200,제기동역앞교차로,103,왕산로,133.8835836,서울특별시
1050000602,1050020300,롯데불로장생센터,1050020400,한방천하용두동포스빌,103,왕산로,31.2209,서울특별시
1050000603,1050020600,경동시장앞교차로,1050020300,롯데불로장생센터,103,왕산로,133.1601049,서울특별시
1050000701,1050020200,제기동역앞교차로,1050020400,한방천하용두동포스빌,103,왕산로,133.8836828,서울특별시
1050000702,1050020400,한방천하용두동포스빌,1050020300,롯데불로장생센터,103,왕산로,31.2209,서울특별시
1050000703,1050020300,롯데불로장생센터,1050020600,경동시장앞교차로,103,왕산로,133.5598801,서울특별시
1050000801,1050019400,이디야커피용두동사거리점,1050018800,용두동사거리,103,왕산로,60.31573809,서울특별시
1050000802,1050019700,용두동소방파출소,1050019400,이디야커피용두동사거리점,103,왕산로,26.36847102,서울특별시
1050000803,1050019800,용두동소방파출소,1050019700,용두동소방파출소,103,왕산로,79.3330952,서울특별시
1050000804,1050020100,용두교,1050019800,용두동소방파출소,103,왕산로,178.1803329,서울특별시
1050000805,1050020200,제기동역앞교차로,1050020100,용두교,103,왕산로,69.63217124,서울특별시
1050000901,1050018800,용두동사거리,1050019000,이디야커피용두동사거리점,103,왕산로,60.31595973,서울특별시
1050000903,1050019000,이디야커피용두동사거리점,1050020100,용두교,103,왕산로,280.0489561,서울특별시
1050000904,1050020100,용두교,1050020200,제기동역앞교차로,103,왕산로,69.63217124,서울특별시
1050001001,1050022500,우리은행청량리중앙지,1050020600,경동시장앞교차로,103,왕산로,276.6221004,서울특별시
1050001002,1050022900,성바오로병원앞교차로,1050022500,우리은행청량리중앙지,103,왕산로,118.2606889,서울특별시
1050001102,1050020600,경동시장앞교차로,1050022500,우리은행청량리중앙지,103,왕산로,279.973611,서울특별시
1050001103,1050022500,우리은행청량리중앙지,1050022900,성바오로병원앞교차로,103,왕산로,118.2606889,서울특별시
1050001201,1050023300,청량리역교차로,1050022900,성바오로병원앞교차로,103,왕산로,247.7259806,서울특별시
1050001300,1050022900,성바오로병원앞교차로,1050023300,청량리역교차로,103,왕산로,248.0022388,서울특별시
1050001401,1050023700,청량리역,1050023300,청량리역교차로,103,왕산로,93.88139161,서울특별시
1050001402,1050024400,미주삼거리,1050023700,청량리역,103,왕산로,277.3862533,서울특별시
1050001501,1050023300,청량리역교차로,1050034500,청량리역,103,왕산로,100.3222864,서울특별시
1050001502,1050034500,청량리역,1050024400,미주삼거리,103,왕산로,275.4605627,서울특별시
1050001600,1050025800,떡전교사거리,1050024400,미주삼거리,103,왕산로,470.024503,서울특별시
1050001701,1050024400,미주삼거리,1050025800,떡전교사거리,103,왕산로,472.5912299,서울특별시
1050002000,1050027500,시조사삼거리,1050025800,떡전교사거리,103,왕산로,353.9117221,서울특별시
1050002102,1050025800,떡전교사거리,1050027200,시조사삼거리,103,왕산로,304.859752,서울특별시
1050002103,1050027200,시조사삼거리,1050027500,시조사삼거리,103,왕산로,59.81859046,서울특별시
